ID,Name,Sex,Age,Team,NOC,Year,Season,Sport,Event,Medal
29026,Andr Dochy,M,24,France,FRA,1952,Summer,Weightlifting,Men's Middleweight,N
110026,Nataliya Shtaymets,F,30,Kazakhstan,KAZ,1994,Winter,Cross Country Skiing,Women's 4 x 5 kilometres Relay,N
129047,"Helen E. ""Penny"" Way-Wilson",F,30,UK,GBR,1992,Summer,Sailing,Women's Windsurfer,N
7374,Kgomotso Balotthanyi,M,28,Botswana,BOT,1984,Summer,Athletics,"Men's 1,500 metres",N
51346,Ann-Mari Hvaal (-Steinsland),F,24,Norway,NOR,1968,Summer,Gymnastics,Women's Individual All-Around,N
124351,Willem Jan Pieter van der Does,M,47,Netherlands,NED,1936,Summer,Art Competitions,"Mixed Painting, Unknown Event",N
36336,Robert Frstemann,M,26,Germany,GER,2012,Summer,Cycling,Men's Team Sprint,Bronze
382,Soha Abed Elaal,F,35,Egypt,EGY,2008,Summer,Archery,Women's Individual,N
52780,Artem Volodymyrovych Ivanov,M,20,Ukraine,UKR,2008,Summer,Weightlifting,Men's Middle-Heavyweight,N
17894,Hersony Gadiel Caneln Vera,M,23,Venezuela,VEN,2012,Summer,Cycling,Men's Keirin,N
98932,John Christian Rapp,M,23,Finland,FIN,1952,Winter,Ice Hockey,Men's Ice Hockey,N
89387,Karl rdgh,M,20,Austria,AUT,1928,Summer,Hockey,Men's Hockey,N
73962,Ilias Malamas,M,17,Greece,GRE,1984,Summer,Swimming,Men's 100 metres Backstroke,N
85133,Kathrin Neimke,F,30,Germany,GER,1996,Summer,Athletics,Women's Shot Put,N
121937,Trnh Quc Vit,M,29,Vietnam,VIE,1996,Summer,Shooting,"Men's Free Pistol, 50 metres",N
100110,Ximena Restrepo Gaviria,F,27,Colombia,COL,1996,Summer,Athletics,Women's 400 metres,N
87160,Yelena Dmitriyevna Novikova-Belova,F,25,Russia,URS,1972,Summer,Fencing,"Women's Foil, Team",Gold
107556,Fabian Schroedter,M,21,Germany,GER,2004,Summer,Water Polo,Men's Water Polo,N
3342,"William ""Willy"" Ambaka Ndayara",M,26,Kenya,KEN,2016,Summer,Rugby Sevens,Men's Rugby Sevens,N
98998,Andreas Engelbert Rasmussen,M,27,Denmark,DEN,1920,Summer,Hockey,Men's Hockey,Silver
15297,Gerben Gerardus Johannes Broeren,M,19,Netherlands,NED,1992,Summer,Cycling,"Men's Team Pursuit, 4,000 metres",N
