Year,Age,Sex,Income,Records
1988,34,F,UM,3
1988,34,M,H,6
1988,35,F,H,1
1988,35,M,H,1
1988,36,F,H,1
1988,36,M,H,3
1988,37,M,H,2
1988,37,M,UM,1
1988,39,M,H,2
1988,40,M,H,3
1988,41,F,H,2
1988,41,M,H,1
1988,42,M,LM,1
1988,43,F,H,1
1988,44,M,H,3
1988,51,F,H,1
1988,54,M,H,1
1988,56,M,UM,1
1992,13,F,L,1
1992,13,F,LM,1
1992,14,F,H,6
1992,15,F,H,7
1992,15,F,L,3
1992,15,F,LM,4
1992,15,M,L,1
1992,16,F,H,10
1992,16,F,LM,1
1992,16,M,H,3
1992,16,M,L,1
1992,17,F,H,3
1992,17,F,L,1
1992,17,F,LM,2
1992,17,F,UM,3
1992,17,M,H,5
1992,17,M,L,6
1992,17,M,UM,1
1992,18,F,H,10
1992,18,F,LM,7
1992,18,F,UM,5
1992,18,M,H,13
1992,18,M,L,9
1992,18,M,LM,1
1992,18,M,UM,4
1992,19,F,H,22
1992,19,F,L,9
1992,19,F,LM,2
1992,19,F,UM,2
1992,19,M,H,15
1992,19,M,L,11
1992,19,M,LM,3
1992,19,M,UM,3
1992,20,F,H,22
1992,20,F,L,4
1992,20,F,LM,2
1992,20,F,UM,5
1992,20,M,H,30
1992,20,M,L,9
1992,20,M,LM,16
1992,20,M,UM,10
1992,21,F,H,12
1992,21,F,L,7
1992,21,F,LM,4
1992,21,F,UM,8
1992,21,M,H,52
1992,21,M,L,3
1992,21,M,LM,16
1992,21,M,UM,7
1992,22,F,H,34
1992,22,F,L,9
1992,22,F,LM,3
1992,22,F,UM,8
1992,22,M,H,72
1992,22,M,L,8
1992,22,M,LM,23
1992,22,M,UM,11
1992,23,F,H,34
1992,23,F,L,8
1992,23,F,LM,7
1992,23,F,UM,2
1992,23,M,H,85
1992,23,M,L,5
1992,23,M,LM,14
1992,23,M,UM,6
1992,24,F,H,41
1992,24,F,L,7
1992,24,F,LM,5
1992,24,F,UM,2
1992,24,M,H,63
1992,24,M,L,13
1992,24,M,LM,22
1992,24,M,UM,14
1992,25,F,H,52
1992,25,F,L,5
1992,25,F,LM,7
1992,25,F,UM,2
1992,25,M,H,58
1992,25,M,L,2
1992,25,M,LM,21
1992,25,M,UM,12
1992,26,F,H,30
1992,26,F,L,1
1992,26,F,LM,6
1992,26,F,UM,2
1992,26,M,H,60
1992,26,M,L,2
1992,26,M,LM,11
1992,26,M,UM,5
1992,27,F,H,30
1992,27,F,L,6
1992,27,F,LM,3
1992,27,F,UM,4
1992,27,M,H,57
1992,27,M,L,4
1992,27,M,LM,14
1992,27,M,UM,7
1992,28,F,H,27
1992,28,F,L,3
1992,28,F,LM,6
1992,28,M,H,54
1992,28,M,L,4
1992,28,M,LM,13
1992,28,M,UM,3
1992,29,F,H,24
1992,29,F,L,1
1992,29,F,LM,3
1992,29,M,H,41
1992,29,M,L,4
1992,29,M,LM,7
1992,30,F,H,8
1992,30,F,LM,2
1992,30,F,UM,1
1992,30,M,H,44
1992,30,M,LM,4
1992,30,M,UM,3
1992,31,F,H,4
1992,31,M,H,26
1992,31,M,L,2
1992,31,M,LM,5
1992,31,M,UM,1
1992,32,F,H,7
1992,32,F,LM,1
1992,32,M,H,19
1992,32,M,LM,6
1992,32,M,UM,1
1992,33,F,H,2
1992,33,M,H,13
1992,33,M,LM,2
1992,33,M,UM,2
1992,34,F,H,3
1992,34,M,H,10
1992,35,F,H,3
1992,35,M,H,8
1992,35,M,LM,1
1992,36,F,H,1
1992,36,M,H,9
1992,36,M,UM,1
1992,37,F,H,1
1992,37,F,LM,1
1992,37,M,H,2
1992,37,M,LM,3
1992,38,M,H,4
1992,39,M,H,2
1992,39,M,UM,1
1992,40,M,H,1
1992,41,F,H,2
1992,41,M,H,2
1992,43,M,H,1
1992,44,M,H,2
1992,45,M,LM,1
1992,47,M,H,1
1992,49,F,H,1
1992,49,M,H,3
1992,52,M,H,2
1992,58,M,H,1
1994,13,F,UM,1
1994,14,F,UM,1
1994,16,F,LM,1
1994,17,F,L,1
1994,17,F,UM,2
1994,18,F,H,3
1994,18,F,UM,4
1994,18,M,H,2
1994,19,F,H,1
1994,19,M,H,4
1994,19,M,UM,2
1994,20,F,H,1
1994,20,F,LM,1
1994,20,M,H,10
1994,20,M,LM,1
1994,21,F,H,6
1994,21,F,L,1
1994,21,F,LM,1
1994,21,M,H,14
1994,21,M,LM,1
1994,21,M,UM,1
1994,22,F,H,5
1994,22,F,LM,4
1994,22,M,H,21
1994,23,F,H,9
1994,23,F,LM,1
1994,23,M,H,21
1994,23,M,LM,3
1994,24,F,H,5
1994,24,M,H,22
1994,25,F,H,7
1994,25,F,LM,4
1994,25,M,H,19
1994,26,F,H,5
1994,26,F,LM,2
1994,26,M,H,15
1994,26,M,LM,2
1994,26,M,UM,1
1994,27,F,H,8
1994,27,F,LM,4
1994,27,M,H,12
1994,27,M,LM,4
1994,28,F,H,3
1994,28,F,LM,4
1994,28,M,H,19
1994,28,M,LM,4
1994,29,F,H,5
1994,29,F,L,1
1994,29,F,LM,2
1994,29,M,H,11
1994,29,M,LM,3
1994,30,F,H,2
1994,30,M,H,10
1994,30,M,LM,2
1994,31,F,H,8
1994,31,M,H,6
1994,32,F,H,1
1994,32,M,H,2
1994,33,F,H,1
1994,33,M,H,4
1994,34,M,H,2
1994,35,M,H,2
1994,36,F,H,1
1994,36,M,H,2
1994,38,F,H,2
1994,43,M,H,1
1996,13,F,L,1
1996,14,F,H,4
1996,14,F,L,2
1996,15,F,H,4
1996,15,F,LM,4
1996,15,F,UM,1
1996,16,F,H,7
1996,16,F,L,2
1996,16,F,LM,12
1996,17,F,H,8
1996,17,F,L,6
1996,17,F,LM,11
1996,17,M,L,1
1996,17,M,LM,2
1996,17,M,UM,1
1996,18,F,H,14
1996,18,F,L,1
1996,18,F,LM,7
1996,18,M,H,3
1996,18,M,L,2
1996,18,M,LM,1
1996,19,F,H,17
1996,19,F,L,2
1996,19,F,LM,10
1996,19,M,H,13
1996,19,M,L,4
1996,19,M,LM,3
1996,19,M,UM,3
1996,20,F,H,16
1996,20,F,L,4
1996,20,F,LM,2
1996,20,M,H,24
1996,20,M,L,5
1996,20,M,LM,17
1996,20,M,UM,4
1996,21,F,H,27
1996,21,F,L,8
1996,21,F,LM,5
1996,21,F,UM,8
1996,21,M,H,50
1996,21,M,L,3
1996,21,M,LM,13
1996,21,M,UM,8
1996,22,F,H,31
1996,22,F,L,6
1996,22,F,LM,10
1996,22,F,UM,4
1996,22,M,H,43
1996,22,M,L,17
1996,22,M,LM,23
1996,22,M,UM,24
1996,23,F,H,48
1996,23,F,L,12
1996,23,F,LM,3
1996,23,F,UM,2
1996,23,M,H,50
1996,23,M,L,11
1996,23,M,LM,29
1996,23,M,UM,18
1996,24,F,H,54
1996,24,F,L,7
1996,24,F,LM,8
1996,24,F,UM,6
1996,24,M,H,39
1996,24,M,L,3
1996,24,M,LM,29
1996,24,M,UM,13
1996,25,F,H,36
1996,25,F,L,8
1996,25,F,LM,7
1996,25,F,UM,4
1996,25,M,H,45
1996,25,M,L,4
1996,25,M,LM,25
1996,25,M,UM,8
1996,26,F,H,35
1996,26,F,L,7
1996,26,F,LM,5
1996,26,F,UM,8
1996,26,M,H,60
1996,26,M,L,2
1996,26,M,LM,26
1996,26,M,UM,8
1996,27,F,H,45
1996,27,F,L,10
1996,27,F,LM,8
1996,27,F,UM,7
1996,27,M,H,58
1996,27,M,L,7
1996,27,M,LM,10
1996,27,M,UM,9
1996,28,F,H,34
1996,28,F,L,4
1996,28,F,LM,8
1996,28,F,UM,5
1996,28,M,H,53
1996,28,M,L,4
1996,28,M,LM,20
1996,28,M,UM,7
1996,29,F,H,25
1996,29,F,L,3
1996,29,F,LM,4
1996,29,F,UM,4
1996,29,M,H,37
1996,29,M,L,1
1996,29,M,LM,8
1996,29,M,UM,7
1996,30,F,H,12
1996,30,F,L,1
1996,30,F,LM,3
1996,30,F,UM,4
1996,30,M,H,33
1996,30,M,LM,7
1996,30,M,UM,10
1996,31,F,H,20
1996,31,F,L,1
1996,31,F,LM,4
1996,31,F,UM,6
1996,31,M,H,18
1996,31,M,L,1
1996,31,M,LM,5
1996,31,M,UM,6
1996,32,F,H,13
1996,32,F,LM,4
1996,32,F,UM,1
1996,32,M,H,23
1996,32,M,LM,7
1996,32,M,UM,4
1996,33,F,H,5
1996,33,F,L,2
1996,33,F,LM,2
1996,33,F,UM,1
1996,33,M,H,9
1996,33,M,LM,3
1996,33,M,UM,3
1996,34,F,H,9
1996,34,F,LM,2
1996,34,F,UM,2
1996,34,M,H,14
1996,34,M,LM,1
1996,34,M,UM,3
1996,35,F,H,4
1996,35,F,LM,2
1996,35,M,H,13
1996,35,M,L,1
1996,35,M,LM,1
1996,35,M,UM,3
1996,36,F,H,2
1996,36,F,LM,3
1996,36,F,UM,1
1996,36,M,H,3
1996,36,M,LM,4
1996,37,F,H,3
1996,37,F,LM,1
1996,37,M,H,3
1996,37,M,LM,1
1996,37,M,UM,2
1996,38,F,H,3
1996,38,M,H,3
1996,39,F,H,1
1996,40,F,H,1
1996,40,M,H,5
1996,42,M,H,3
1996,42,M,UM,1
1996,44,M,H,1
1996,45,F,H,2
1996,45,M,H,1
1996,46,M,H,2
1996,46,M,LM,1
1996,56,M,H,1
1998,15,F,H,1
1998,16,F,H,1
1998,17,F,H,1
1998,17,F,UM,1
1998,17,M,UM,2
1998,18,F,H,2
1998,18,F,UM,3
1998,18,M,H,4
1998,18,M,L,1
1998,19,F,H,6
1998,19,F,L,3
1998,19,M,H,3
1998,19,M,L,3
1998,19,M,UM,1
1998,20,F,H,6
1998,20,F,L,3
1998,20,F,LM,1
1998,20,M,H,4
1998,20,M,LM,3
1998,20,M,UM,1
1998,21,F,H,5
1998,21,F,L,2
1998,21,F,LM,2
1998,21,M,H,7
1998,21,M,LM,1
1998,21,M,UM,1
1998,22,F,H,11
1998,22,F,LM,2
1998,22,F,UM,3
1998,22,M,H,11
1998,22,M,L,2
1998,23,F,H,13
1998,23,F,LM,1
1998,23,M,H,15
1998,23,M,LM,4
1998,23,M,UM,4
1998,24,F,H,14
1998,24,F,LM,1
1998,24,F,UM,2
1998,24,M,H,17
1998,24,M,LM,1
1998,24,M,UM,1
1998,25,F,H,19
1998,25,F,LM,3
1998,25,M,H,13
1998,25,M,LM,3
1998,25,M,UM,4
1998,26,F,H,12
1998,26,F,LM,1
1998,26,M,H,16
1998,26,M,LM,2
1998,26,M,UM,4
1998,27,F,H,17
1998,27,F,LM,3
1998,27,M,H,17
1998,27,M,LM,3
1998,27,M,UM,1
1998,28,F,H,3
1998,28,M,H,16
1998,28,M,LM,3
1998,28,M,UM,2
1998,29,F,H,7
1998,29,F,LM,3
1998,29,M,H,15
1998,29,M,LM,2
1998,29,M,UM,1
1998,30,F,H,8
1998,30,M,H,13
1998,30,M,LM,3
1998,30,M,UM,1
1998,31,F,H,8
1998,31,M,H,9
1998,31,M,LM,3
1998,31,M,UM,1
1998,32,F,H,6
1998,32,F,LM,6
1998,32,M,H,7
1998,32,M,LM,4
1998,33,F,H,3
1998,33,M,H,6
1998,33,M,LM,2
1998,33,M,UM,1
1998,34,F,H,2
1998,34,M,H,2
1998,34,M,LM,1
1998,34,M,UM,1
1998,35,F,H,1
1998,35,M,H,3
1998,37,F,H,1
1998,37,M,H,3
1998,39,F,H,1
1998,39,M,H,1
1998,42,F,H,1
1998,42,M,H,1
1998,50,M,H,1
2000,15,F,H,5
2000,15,F,LM,1
2000,16,F,H,7
2000,16,F,LM,15
2000,16,M,L,1
2000,17,F,H,7
2000,17,F,L,1
2000,17,F,LM,12
2000,17,F,UM,4
2000,17,M,H,6
2000,17,M,L,1
2000,17,M,LM,3
2000,18,F,H,11
2000,18,F,L,3
2000,18,F,LM,9
2000,18,F,UM,1
2000,18,M,H,4
2000,18,M,L,1
2000,18,M,LM,3
2000,18,M,UM,2
2000,19,F,H,12
2000,19,F,L,1
2000,19,F,LM,6
2000,19,F,UM,3
2000,19,M,H,7
2000,19,M,L,7
2000,19,M,LM,4
2000,19,M,UM,2
2000,20,F,H,11
2000,20,F,LM,13
2000,20,F,UM,6
2000,20,M,H,20
2000,20,M,L,5
2000,20,M,LM,8
2000,20,M,UM,6
2000,21,F,H,28
2000,21,F,L,3
2000,21,F,LM,18
2000,21,F,UM,11
2000,21,M,H,32
2000,21,M,L,8
2000,21,M,LM,15
2000,21,M,UM,6
2000,22,F,H,42
2000,22,F,L,1
2000,22,F,LM,10
2000,22,F,UM,6
2000,22,M,H,47
2000,22,M,L,15
2000,22,M,LM,20
2000,22,M,UM,13
2000,23,F,H,42
2000,23,F,LM,12
2000,23,F,UM,7
2000,23,M,H,49
2000,23,M,L,6
2000,23,M,LM,17
2000,23,M,UM,15
2000,24,F,H,29
2000,24,F,L,3
2000,24,F,LM,23
2000,24,F,UM,7
2000,24,M,H,52
2000,24,M,L,4
2000,24,M,LM,28
2000,24,M,UM,19
2000,25,F,H,42
2000,25,F,L,3
2000,25,F,LM,22
2000,25,F,UM,9
2000,25,M,H,35
2000,25,M,L,5
2000,25,M,LM,13
2000,25,M,UM,19
2000,26,F,H,43
2000,26,F,L,4
2000,26,F,LM,13
2000,26,F,UM,6
2000,26,M,H,51
2000,26,M,L,10
2000,26,M,LM,39
2000,26,M,UM,18
2000,27,F,H,44
2000,27,F,L,2
2000,27,F,LM,18
2000,27,F,UM,11
2000,27,M,H,43
2000,27,M,L,3
2000,27,M,LM,18
2000,27,M,UM,20
2000,28,F,H,39
2000,28,F,L,2
2000,28,F,LM,9
2000,28,F,UM,7
2000,28,M,H,45
2000,28,M,L,4
2000,28,M,LM,18
2000,28,M,UM,15
2000,29,F,H,31
2000,29,F,L,2
2000,29,F,LM,10
2000,29,F,UM,5
2000,29,M,H,32
2000,29,M,L,4
2000,29,M,LM,16
2000,29,M,UM,10
2000,30,F,H,35
2000,30,F,LM,6
2000,30,F,UM,6
2000,30,M,H,32
2000,30,M,L,1
2000,30,M,LM,9
2000,30,M,UM,5
2000,31,F,H,23
2000,31,F,LM,12
2000,31,F,UM,6
2000,31,M,H,26
2000,31,M,L,2
2000,31,M,LM,8
2000,31,M,UM,4
2000,32,F,H,13
2000,32,F,L,2
2000,32,F,UM,3
2000,32,M,H,23
2000,32,M,L,1
2000,32,M,LM,9
2000,32,M,UM,4
2000,33,F,H,11
2000,33,F,LM,1
2000,33,M,H,14
2000,33,M,L,1
2000,33,M,LM,6
2000,34,F,H,5
2000,34,F,LM,4
2000,34,F,UM,1
2000,34,M,H,20
2000,34,M,LM,2
2000,34,M,UM,4
2000,35,F,H,8
2000,35,F,L,1
2000,35,F,LM,3
2000,35,F,UM,2
2000,35,M,H,9
2000,35,M,LM,3
2000,36,F,H,5
2000,36,F,LM,4
2000,36,F,UM,1
2000,36,M,H,10
2000,36,M,LM,4
2000,36,M,UM,1
2000,37,F,H,1
2000,37,F,L,1
2000,37,F,LM,1
2000,37,M,H,9
2000,37,M,LM,5
2000,37,M,UM,1
2000,38,F,H,5
2000,38,M,H,4
2000,38,M,LM,2
2000,38,M,UM,1
2000,39,F,H,3
2000,39,F,LM,2
2000,39,M,H,2
2000,39,M,LM,1
2000,40,F,H,1
2000,40,F,LM,2
2000,40,M,H,2
2000,40,M,UM,1
2000,41,F,H,2
2000,41,M,H,3
2000,41,M,LM,1
2000,42,F,H,5
2000,42,M,H,3
2000,43,F,H,2
2000,43,M,H,1
2000,44,M,H,4
2000,45,M,H,2
2000,46,M,H,3
2000,47,M,H,2
2000,47,M,UM,1
2002,15,F,H,3
2002,16,F,H,2
2002,17,F,H,4
2002,18,F,H,6
2002,18,M,H,3
2002,18,M,LM,3
2002,19,F,H,4
2002,19,M,H,4
2002,19,M,LM,1
2002,20,F,H,8
2002,20,F,UM,4
2002,20,M,H,9
2002,21,F,H,8
2002,21,M,H,3
2002,21,M,LM,1
2002,22,F,H,14
2002,22,M,H,14
2002,22,M,LM,2
2002,23,F,H,6
2002,23,F,LM,5
2002,23,M,H,12
2002,23,M,LM,5
2002,24,F,H,11
2002,24,F,LM,5
2002,24,M,H,21
2002,24,M,LM,1
2002,24,M,UM,2
2002,25,F,H,17
2002,25,F,LM,7
2002,25,M,H,10
2002,25,M,LM,3
2002,26,F,H,16
2002,26,F,LM,2
2002,26,M,H,10
2002,26,M,LM,2
2002,27,F,H,12
2002,27,F,LM,1
2002,27,M,H,20
2002,27,M,LM,2
2002,28,F,H,12
2002,28,F,LM,1
2002,28,F,UM,2
2002,28,M,H,21
2002,28,M,LM,5
2002,29,F,H,12
2002,29,F,LM,2
2002,29,M,H,19
2002,29,M,LM,3
2002,29,M,UM,2
2002,30,F,H,10
2002,30,M,H,13
2002,30,M,LM,1
2002,31,F,H,7
2002,31,M,H,16
2002,31,M,LM,1
2002,31,M,UM,2
2002,32,F,H,2
2002,32,M,H,13
2002,32,M,LM,1
2002,33,F,H,9
2002,33,M,H,7
2002,33,M,LM,2
2002,34,F,H,7
2002,34,M,H,12
2002,35,F,H,2
2002,35,M,H,5
2002,35,M,LM,1
2002,36,F,H,3
2002,36,M,H,3
2002,37,F,H,1
2002,37,M,H,5
2002,38,F,H,1
2002,38,M,H,3
2002,39,M,H,3
2002,40,M,H,1
2002,41,M,H,1
2002,41,M,LM,1
2002,43,F,H,1
2002,45,F,H,1
2002,45,M,H,1
2004,15,F,UM,2
2004,15,M,UM,1
2004,16,F,H,11
2004,16,F,LM,8
2004,16,F,UM,4
2004,17,F,H,7
2004,17,F,LM,8
2004,17,F,UM,1
2004,17,M,H,3
2004,17,M,UM,1
2004,18,F,H,16
2004,18,F,LM,11
2004,18,F,UM,5
2004,18,M,H,1
2004,18,M,L,1
2004,18,M,UM,1
2004,19,F,H,16
2004,19,F,L,1
2004,19,F,LM,11
2004,19,F,UM,2
2004,19,M,H,20
2004,19,M,L,3
2004,19,M,LM,3
2004,19,M,UM,6
2004,20,F,H,15
2004,20,F,L,4
2004,20,F,LM,9
2004,20,F,UM,10
2004,20,M,H,13
2004,20,M,L,5
2004,20,M,LM,12
2004,20,M,UM,8
2004,21,F,H,35
2004,21,F,LM,9
2004,21,F,UM,11
2004,21,M,H,40
2004,21,M,L,1
2004,21,M,LM,12
2004,21,M,UM,12
2004,22,F,H,37
2004,22,F,L,1
2004,22,F,LM,29
2004,22,F,UM,12
2004,22,M,H,52
2004,22,M,L,6
2004,22,M,LM,16
2004,22,M,UM,13
2004,23,F,H,39
2004,23,F,LM,12
2004,23,F,UM,11
2004,23,M,H,47
2004,23,M,LM,28
2004,23,M,UM,17
2004,24,F,H,42
2004,24,F,L,2
2004,24,F,LM,11
2004,24,F,UM,10
2004,24,M,H,50
2004,24,M,L,2
2004,24,M,LM,20
2004,24,M,UM,22
2004,25,F,H,38
2004,25,F,L,2
2004,25,F,LM,15
2004,25,F,UM,10
2004,25,M,H,48
2004,25,M,L,2
2004,25,M,LM,8
2004,25,M,UM,14
2004,26,F,H,48
2004,26,F,LM,12
2004,26,F,UM,8
2004,26,M,H,62
2004,26,M,LM,12
2004,26,M,UM,20
2004,27,F,H,41
2004,27,F,LM,9
2004,27,F,UM,8
2004,27,M,H,50
2004,27,M,L,2
2004,27,M,LM,4
2004,27,M,UM,13
2004,28,F,H,33
2004,28,F,L,1
2004,28,F,LM,16
2004,28,F,UM,10
2004,28,M,H,64
2004,28,M,L,1
2004,28,M,LM,15
2004,28,M,UM,14
2004,29,F,H,27
2004,29,F,LM,8
2004,29,F,UM,10
2004,29,M,H,44
2004,29,M,L,1
2004,29,M,LM,12
2004,29,M,UM,15
2004,30,F,H,29
2004,30,F,LM,5
2004,30,F,UM,7
2004,30,M,H,21
2004,30,M,L,1
2004,30,M,LM,13
2004,30,M,UM,26
2004,31,F,H,22
2004,31,F,LM,6
2004,31,F,UM,8
2004,31,M,H,30
2004,31,M,LM,11
2004,31,M,UM,10
2004,32,F,H,21
2004,32,F,L,2
2004,32,F,LM,5
2004,32,F,UM,4
2004,32,M,H,22
2004,32,M,LM,1
2004,32,M,UM,9
2004,33,F,H,12
2004,33,F,LM,2
2004,33,F,UM,4
2004,33,M,H,12
2004,33,M,LM,6
2004,33,M,UM,4
2004,34,F,H,18
2004,34,F,LM,6
2004,34,M,H,12
2004,34,M,L,1
2004,34,M,LM,3
2004,34,M,UM,10
2004,35,F,H,7
2004,35,F,LM,5
2004,35,F,UM,2
2004,35,M,H,10
2004,35,M,LM,1
2004,35,M,UM,5
2004,36,F,H,6
2004,36,F,UM,1
2004,36,M,H,6
2004,36,M,LM,2
2004,36,M,UM,2
2004,37,F,H,1
2004,37,M,H,5
2004,37,M,LM,1
2004,37,M,UM,1
2004,38,F,H,3
2004,38,F,UM,1
2004,38,M,H,2
2004,38,M,LM,2
2004,38,M,UM,2
2004,39,F,H,1
2004,39,F,LM,1
2004,39,F,UM,1
2004,39,M,H,7
2004,40,F,H,1
2004,40,F,LM,1
2004,40,M,H,4
2004,40,M,UM,1
2004,41,F,H,1
2004,41,F,LM,2
2004,41,M,H,1
2004,42,F,H,3
2004,42,M,H,2
2004,42,M,UM,2
2004,43,F,H,1
2004,43,M,H,1
2004,43,M,LM,1
2004,44,M,H,4
2004,44,M,LM,1
2004,45,M,H,3
2004,45,M,UM,1
2004,46,F,H,2
2004,46,F,LM,1
2004,46,M,H,1
2004,47,M,H,1
2004,48,M,H,1
2004,49,F,H,1
2004,50,M,H,1
2006,15,F,H,1
2006,16,F,H,2
2006,17,F,H,4
2006,17,M,H,1
2006,18,F,H,5
2006,19,F,H,6
2006,19,M,H,8
2006,20,F,H,8
2006,20,F,LM,4
2006,20,F,UM,1
2006,20,M,H,9
2006,21,F,H,9
2006,21,M,H,10
2006,21,M,LM,1
2006,21,M,UM,1
2006,22,F,H,13
2006,22,F,LM,1
2006,22,M,H,11
2006,22,M,LM,1
2006,23,F,H,4
2006,23,F,LM,1
2006,23,F,UM,2
2006,23,M,H,12
2006,23,M,UM,4
2006,24,F,H,22
2006,24,F,UM,3
2006,24,M,H,14
2006,24,M,UM,2
2006,25,F,H,10
2006,25,M,H,14
2006,25,M,UM,3
2006,26,F,H,22
2006,26,F,UM,2
2006,26,M,H,11
2006,26,M,UM,1
2006,27,F,H,7
2006,27,F,LM,1
2006,27,F,UM,2
2006,27,M,H,27
2006,27,M,UM,2
2006,28,F,H,13
2006,28,F,LM,1
2006,28,F,UM,3
2006,28,M,H,25
2006,28,M,LM,1
2006,28,M,UM,1
2006,29,F,H,17
2006,29,F,LM,1
2006,29,F,UM,7
2006,29,M,H,25
2006,29,M,UM,3
2006,30,F,H,8
2006,30,F,UM,2
2006,30,M,H,20
2006,30,M,LM,1
2006,31,F,H,9
2006,31,F,LM,1
2006,31,M,H,16
2006,31,M,UM,1
2006,32,F,H,12
2006,32,F,LM,1
2006,32,F,UM,1
2006,32,M,H,20
2006,32,M,LM,1
2006,32,M,UM,1
2006,33,F,H,5
2006,33,F,UM,3
2006,33,M,H,15
2006,33,M,LM,1
2006,34,F,H,3
2006,34,F,UM,1
2006,34,M,H,9
2006,34,M,UM,2
2006,35,F,H,4
2006,35,M,H,9
2006,36,F,H,2
2006,36,M,H,3
2006,37,F,H,2
2006,37,M,H,3
2006,38,M,H,1
2006,39,F,H,1
2006,39,M,H,2
2006,39,M,UM,1
2006,40,F,H,1
2006,41,F,H,1
2006,41,M,H,1
2006,43,F,H,1
2006,44,F,H,1
2006,49,M,H,1
2008,15,F,LM,7
2008,15,F,UM,1
2008,16,F,H,10
2008,16,F,LM,5
2008,16,F,UM,2
2008,16,M,UM,1
2008,17,F,H,1
2008,17,F,LM,6
2008,17,F,UM,4
2008,17,M,H,1
2008,17,M,LM,2
2008,18,F,H,11
2008,18,F,L,2
2008,18,F,LM,3
2008,18,F,UM,11
2008,18,M,H,2
2008,18,M,LM,1
2008,18,M,UM,3
2008,19,F,H,13
2008,19,F,L,1
2008,19,F,LM,11
2008,19,F,UM,8
2008,19,M,H,13
2008,19,M,L,1
2008,19,M,LM,6
2008,19,M,UM,5
2008,20,F,H,21
2008,20,F,LM,13
2008,20,F,UM,9
2008,20,M,H,22
2008,20,M,LM,13
2008,20,M,UM,15
2008,21,F,H,30
2008,21,F,L,1
2008,21,F,LM,13
2008,21,F,UM,9
2008,21,M,H,31
2008,21,M,L,5
2008,21,M,LM,8
2008,21,M,UM,23
2008,22,F,H,42
2008,22,F,LM,17
2008,22,F,UM,24
2008,22,M,H,49
2008,22,M,L,3
2008,22,M,LM,13
2008,22,M,UM,15
2008,23,F,H,40
2008,23,F,L,3
2008,23,F,LM,11
2008,23,F,UM,15
2008,23,M,H,67
2008,23,M,L,3
2008,23,M,LM,16
2008,23,M,UM,31
2008,24,F,H,48
2008,24,F,L,7
2008,24,F,LM,16
2008,24,F,UM,19
2008,24,M,H,58
2008,24,M,L,3
2008,24,M,LM,12
2008,24,M,UM,21
2008,25,F,H,54
2008,25,F,LM,6
2008,25,F,UM,25
2008,25,M,H,67
2008,25,M,L,4
2008,25,M,LM,10
2008,25,M,UM,15
2008,26,F,H,40
2008,26,F,L,3
2008,26,F,LM,12
